10216198,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
15535343,org.jfree.chart.title.LegendGraphic,arrange
1329145,org.jfree.chart.text.TextUtilities,getTextBounds
7533532,org.jfree.chart.text.TextFragment,calculateDimensions
2245,org.jfree.chart.ui.Size2D,getWidth
6415,org.jfree.chart.ui.Size2D,getHeight
5254677,org.jfree.chart.text.TextLine,calculateDimensions
3527,org.jfree.chart.ui.Size2D,getWidth
2246,org.jfree.chart.ui.Size2D,getHeight
4312024,org.jfree.chart.text.TextBlock,calculateDimensions
8660,org.jfree.chart.ui.Size2D,getWidth
2566,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
21491,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5743806,org.jfree.chart.ui.RectangleInsets,extendWidth
2246,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
963,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4964729,org.jfree.chart.ui.RectangleInsets,extendWidth
642,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5181868,org.jfree.chart.ui.RectangleInsets,extendWidth
10566445,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
1604,org.jfree.chart.ui.Size2D,getHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
5577341,org.jfree.chart.ui.RectangleInsets,extendHeight
2246,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4797944,org.jfree.chart.ui.RectangleInsets,extendHeight
642,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1282,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4842526,org.jfree.chart.ui.RectangleInsets,extendHeight
10159748,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
15170662,org.jfree.chart.block.LabelBlock,arrange
641,org.jfree.chart.util.ParamChecks,nullNotPermitted
4726419,org.jfree.chart.block.AbstractBlock,setBounds
1282,org.jfree.chart.util.ParamChecks,nullNotPermitted
4824243,org.jfree.chart.block.AbstractBlock,setBounds
9823612,org.jfree.chart.block.BorderArrangement,arrangeNN
1925,org.jfree.chart.ui.Size2D,getWidth
642,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5465403,org.jfree.chart.ui.RectangleInsets,extendWidth
1604,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
963,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5084365,org.jfree.chart.ui.RectangleInsets,extendWidth
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5164870,org.jfree.chart.ui.RectangleInsets,extendWidth
9808217,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
962,org.jfree.chart.ui.Size2D,getHeight
642,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4860487,org.jfree.chart.ui.RectangleInsets,extendHeight
1604,org.jfree.chart.block.BlockBorder,getInsets
641,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
5187322,org.jfree.chart.ui.RectangleInsets,extendHeight
642,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
2566,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
5026951,org.jfree.chart.ui.RectangleInsets,extendHeight
10100731,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
15635414,org.jfree.chart.block.BorderArrangement,arrange
20775266,org.jfree.chart.block.BlockContainer,arrange
