962,org.jfree.chart.block.BlockBorder,getInsets
963,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
962,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4451866,org.jfree.chart.ui.RectangleInsets,trim
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4567973,org.jfree.chart.ui.RectangleInsets,trim
8546106,org.jfree.chart.block.AbstractBlock,trimPadding
962,org.jfree.chart.block.BlockParams,getGenerateEntities
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
2887,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
6112335,org.jfree.chart.ui.RectangleInsets,trim
10194067,org.jfree.chart.block.AbstractBlock,trimMargin
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4388038,org.jfree.chart.block.BlockBorder,draw
8326721,org.jfree.chart.block.AbstractBlock,drawBorder
642,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
963,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4388039,org.jfree.chart.ui.RectangleInsets,trim
8395680,org.jfree.chart.block.AbstractBlock,trimBorder
963,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1924,org.jfree.chart.ui.RectangleInsets,calculateTopInset
3849,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4392529,org.jfree.chart.ui.RectangleInsets,trim
8600953,org.jfree.chart.block.AbstractBlock,trimPadding
4169,org.jfree.chart.block.AbstractBlock,getBounds
642,org.jfree.chart.block.BlockParams,getGenerateEntities
641,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
4169,org.jfree.chart.ui.RectangleInsets,calculateRightInset
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
963,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4838678,org.jfree.chart.ui.RectangleInsets,trim
9204906,org.jfree.chart.block.AbstractBlock,trimMargin
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
3207,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5642771,org.jfree.chart.block.BlockBorder,draw
10415377,org.jfree.chart.block.AbstractBlock,drawBorder
1283,org.jfree.chart.block.BlockBorder,getInsets
1925,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2566,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4772926,org.jfree.chart.ui.RectangleInsets,trim
9230885,org.jfree.chart.block.AbstractBlock,trimBorder
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1925,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5562587,org.jfree.chart.ui.RectangleInsets,trim
9826820,org.jfree.chart.block.AbstractBlock,trimPadding
2246,org.jfree.chart.block.AbstractBlock,getBounds
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
2566,org.jfree.chart.ui.RectangleInsets,calculateTopInset
2245,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4562201,org.jfree.chart.ui.RectangleInsets,trim
8927146,org.jfree.chart.block.AbstractBlock,trimMargin
1924,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1603,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
962,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4339286,org.jfree.chart.block.BlockBorder,draw
8253912,org.jfree.chart.block.AbstractBlock,drawBorder
642,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4498052,org.jfree.chart.ui.RectangleInsets,trim
8888656,org.jfree.chart.block.AbstractBlock,trimBorder
